Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,229.8433380126953,45.585472106933594,39.947174072265625,45.03730773925781,21.58791160583496,59.07005310058594,58.80283737182617,43.932823181152344,25.51213836669922,44.00264358520508,77.85240173339844,94.88231658935547
2019-01-03,224.358642578125,44.29278564453125,39.27869415283203,44.59063720703125,21.10259246826172,57.27259063720703,55.83518981933594,43.68043899536133,25.630056381225586,43.99419021606445,76.2716064453125,92.82793426513672
2019-01-04,231.87368774414062,46.034332275390625,40.96901321411133,46.107791900634766,21.80360984802246,59.44415283203125,58.30980682373047,44.61164855957031,25.891155242919922,44.645626068115234,78.54685974121094,95.90000915527344
2019-01-07,233.7019500732422,46.19590759277344,41.43696212768555,46.79320526123047,21.83057403564453,59.927734375,58.83127212524414,44.55074691772461,26.110143661499023,44.341060638427734,78.848388671875,98.06851959228516
2019-01-08,235.89764404296875,46.6806755065918,42.13410568237305,47.155174255371094,21.848548889160156,60.74891662597656,59.32431411743164,44.95978546142578,26.564966201782227,44.890987396240234,79.46062469482422,99.15277099609375
2019-01-09,237.0001220703125,46.698638916015625,42.19141387939453,47.902198791503906,21.956403732299805,61.15948486328125,60.09230422973633,44.54204177856445,26.455469131469727,44.62025833129883,79.81700134277344,99.6568603515625
2019-01-10,237.83612060546875,47.111572265625,42.27735137939453,48.04081726074219,21.965391159057617,61.98979949951172,60.357765197753906,44.803131103515625,26.876605987548828,45.20401382446289,79.97232055664062,99.37155151367188
2019-01-11,237.92799377441406,46.92306900024414,42.0672492980957,47.7558708190918,22.019315719604492,61.925960540771484,60.243995666503906,44.93366622924805,26.927135467529297,45.03480529785156,80.2373275756836,99.4666519165039
2019-01-14,236.47642517089844,46.5639762878418,41.914459228515625,47.64035415649414,22.172101974487305,61.916812896728516,59.684600830078125,44.716094970703125,26.84291648864746,44.01955795288086,79.35096740722656,98.85794830322266
2019-01-15,239.18658447265625,46.25876235961914,42.611595153808594,47.80978775024414,22.369823455810547,61.72520065307617,60.585330963134766,45.159950256347656,27.146127700805664,44.56102752685547,80.77643585205078,99.75196075439453
2019-01-16,239.76544189453125,46.43830871582031,42.43014907836914,47.74817657470703,22.846160888671875,61.789066314697266,60.642215728759766,44.9162712097168,27.27246856689453,44.721778869628906,80.63024139404297,99.52371978759766
2019-01-17,241.58447265625,47.255218505859375,42.60205078125,48.1871452331543,22.971988677978516,62.84748077392578,61.030948638916016,45.10773468017578,27.407228469848633,44.90790939331055,81.34297943115234,100.19898986816406
2019-01-18,244.79995727539062,48.036216735839844,42.94584655761719,49.16521453857422,23.367435455322266,64.04273986816406,61.960086822509766,45.64731979370117,27.50830078125,44.95867156982422,82.31157684326172,101.58760070800781
2019-01-22,241.49258422851562,47.37190628051758,42.057708740234375,48.09473419189453,23.097810745239258,62.71974563598633,60.917171478271484,45.229583740234375,27.457765579223633,45.043277740478516,81.74503326416016,100.06585693359375
2019-01-23,241.99789428710938,47.048744201660156,41.86671829223633,47.60184860229492,23.124773025512695,62.81098556518555,61.12575149536133,45.76915740966797,27.4746036529541,45.50013732910156,81.8364028930664,100.26557159423828
2019-01-24,242.12652587890625,46.79738235473633,42.057708740234375,47.85599136352539,23.17869758605957,63.130340576171875,61.63773727416992,45.203468322753906,27.584108352661133,45.73702621459961,81.1511001586914,100.6840591430664
2019-01-25,244.1752166748047,47.68611145019531,42.59249496459961,48.464393615722656,23.367435455322266,63.933258056640625,62.5100212097168,45.02070236206055,27.9041690826416,45.110958099365234,81.25159454345703,101.7968521118164
2019-01-28,242.3194122314453,47.61430358886719,42.22005081176758,47.979217529296875,23.2955379486084,63.32194519042969,61.67568588256836,45.2121696472168,28.182109832763672,44.89944076538086,80.32870483398438,101.20718383789062
2019-01-29,241.99789428710938,48.108036041259766,41.723453521728516,48.12553787231445,23.214649200439453,64.19786834716797,61.0119743347168,45.31660842895508,28.401100158691406,45.02635192871094,80.72162628173828,100.5509033203125
2019-01-30,245.8289031982422,48.61972427368164,42.32509994506836,48.803253173828125,23.349458694458008,65.20150756835938,62.90821838378906,45.621212005615234,28.63692855834961,45.37322998046875,81.82727813720703,102.5291976928711
2019-01-31,247.98788452148438,47.89258575439453,44.05363845825195,49.11900329589844,23.31351089477539,65.48436737060547,62.84185791015625,46.46540069580078,28.91488265991211,46.32925796508789,82.85066986083984,103.46128845214844
